date,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,c21,c22,c25,c26,c29,c30,d31,d32,d33,d39,d40,e41,e42,e43,e49,e50,f51,f52,f53,f57,f58,f59,f60,g61,g62,g63,g64,g67,g68,g69,g70,h71,h72,h73,h74,h75,h76,h77,h78,h79,h80
20180104,,,,0.09064362943172455,0.08038756251335144,0.08483880758285522,0.09603112190961838,,,,,,,0.1193917840719223,0.12580175697803497,0.1508655697107315,0.2102392166852951,0.46908825635910034,,,,,0.2963700592517853,,,,0.13682864606380463,,,,,,0.13097980618476868,,0.37236979603767395,0.24587507545948029,,,,,,0.3382576107978821,0.28823956847190857,,,,,,0.3468015789985657,0.267926424741745,0.3973703682422638,,,,,,,,,,0.44174790382385254
20180105,0.3732292056083679,0.4929386079311371,0.27462106943130493,0.12686458230018616,0.11793877929449081,0.10074310749769211,0.1359122395515442,0.35238292813301086,0.9265887141227722,0.35677370429039,0.33290573954582214,0.8584355711936951,0.44223469495773315,0.1840650886297226,0.1404859572649002,0.13683229684829712,0.2201358526945114,0.45074349641799927,0.6878414154052734,0.506372332572937,0.19660058617591858,0.39756491780281067,0.3072341978549957,0.7648001909255981,,0.28199562430381775,0.1651790887117386,0.24907426536083221,,,0.23341768980026245,0.15495900809764862,0.19963227212429047,3.3712589740753174,,0.15184298157691956,,0.26603153347969055,0.356153279542923,,,0.24495230615139008,0.24038060009479523,,,0.26026496291160583,1.1190903186798096,0.7661027908325195,0.5777018070220947,0.28649190068244934,0.3847808241844177,,,,,,0.36939677596092224,0.34674152731895447,0.44510868191719055,0.43494921922683716,0.4926214814186096
20180106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180107,0.42812249064445496,0.5173081159591675,0.29133400321006775,0.16383908689022064,0.16938593983650208,,,,,,0.33750852942466736,1.338032603263855,0.5212259888648987,0.23860862851142883,0.1818879246711731,0.16094785928726196,,0.4730181097984314,,,0.23499591648578644,0.406230628490448,0.4061102867126465,,,,0.19072729349136353,0.3344297409057617,,,,0.17734675109386444,0.20943744480609894,4.147363185882568,,,,0.2115413099527359,0.3013802468776703,,3.1881492137908936,0.3557421565055847,0.38138505816459656,0.30152374505996704,0.32281532883644104,0.28652986884117126,,2.4430179595947266,1.373317837715149,0.43960216641426086,,0.4536108374595642,0.31850504875183105,0.2827957272529602,0.27886873483657837,0.31998878717422485,0.6511726975440979,,,,
20180108,0.4236443042755127,0.46926456689834595,0.22899183630943298,0.13163645565509796,0.11917715519666672,0.10405468940734863,0.14861240983009338,0.37455904483795166,0.6653596758842468,0.30521899461746216,0.28413283824920654,0.7118056416511536,0.3366626501083374,0.21082526445388794,0.16557443141937256,0.1548200249671936,0.19944757223129272,0.4760262072086334,0.8883448839187622,0.48537927865982056,0.1827242076396942,0.3116212785243988,0.3553392291069031,,0.6031762361526489,0.30503082275390625,0.1395719349384308,0.2207798957824707,,0.4105939567089081,0.3017151951789856,,0.15241241455078125,,0.4985117018222809,0.2880461513996124,0.22327284514904022,0.2555256485939026,0.2444700449705124,,,0.27938103675842285,0.25535112619400024,0.33438143134117126,0.3434480130672455,0.3001331388950348,0.27958858013153076,,0.4710018038749695,0.32973963022232056,0.3124690353870392,0.5341934561729431,0.4550592303276062,0.3426803946495056,0.30632078647613525,0.29845666885375977,0.39842331409454346,0.5862369537353516,0.47599950432777405,0.4648813009262085,0.4911651015281677
20180109,0.3357430398464203,0.42902278900146484,0.22870567440986633,0.12496491521596909,0.11438904702663422,0.09012622386217117,0.10108944028615952,0.2263547033071518,0.6258904933929443,0.2813269793987274,0.20156188309192657,,0.28060436248779297,0.1726042479276657,0.14210881292819977,0.09316503256559372,0.10957805812358856,0.2793213725090027,0.6051014065742493,0.27878379821777344,0.19142401218414307,0.2548571825027466,,,,,,0.15075428783893585,,,,0.12341321259737015,0.11742328852415085,,0.21066562831401825,0.19164502620697021,0.19016948342323303,0.18987290561199188,,,,0.22186927497386932,0.2118571698665619,0.2695153057575226,0.2691955864429474,0.22709967195987701,0.28787773847579956,,0.3864411413669586,0.3435543477535248,0.3043910562992096,0.403096079826355,0.372092068195343,0.25206416845321655,0.3090514838695526,0.41303110122680664,0.43562963604927063,0.5649849772453308,0.4735580086708069,0.45729371905326843,0.4868300259113312
20180110,0.41873446106910706,0.4577775001525879,0.1915522664785385,0.12263443320989609,,,,,,,0.2631281614303589,0.6171497702598572,0.45620521903038025,,,,,,,,0.23130656778812408,,,,,0.2446422129869461,,,,0.3100484311580658,0.22802874445915222,,,,0.4774196147918701,0.23614078760147095,0.17010971903800964,0.20164552330970764,0.26530033349990845,,1.2579389810562134,0.2728363871574402,0.2197950929403305,0.2315339744091034,0.2280329018831253,0.24621422588825226,0.7536182403564453,1.9208625555038452,0.6197983026504517,0.31267186999320984,0.25075969099998474,0.41610780358314514,0.3190922141075134,0.266512930393219,0.33829012513160706,0.5163518786430359,0.6258040070533752,0.6638145446777344,0.4061729311943054,0.40592247247695923,0.46359288692474365
20180111,,,,,,,0.19214093685150146,0.3362962007522583,0.7612114548683167,0.2510976791381836,,,,,,,0.26356813311576843,0.3918149769306183,0.5995829701423645,0.32791635394096375,,,,,0.44645607471466064,0.21857589483261108,,,,0.2927139401435852,0.17654481530189514,,,,0.45237356424331665,0.1875438243150711,,,,,,0.2695105969905853,0.1766931116580963,,,,,,,,0.19422565400600433,,,,,1.1373964548110962,,,,,0.42284080386161804
20180112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180113,,0.33127304911613464,,,0.17684616148471832,0.12270552664995193,0.14375005662441254,0.26378393173217773,,,,,,0.2186087667942047,0.17866678535938263,0.12185279279947281,0.28802356123924255,0.3538568913936615,0.6428086757659912,0.3494555354118347,,,,,,0.4015456438064575,0.13556933403015137,,,0.2695225477218628,0.26025745272636414,0.13987696170806885,0.14040528237819672,,0.207013338804245,,0.14725379645824432,0.13760821521282196,,,,,,0.1993059664964676,0.21149948239326477,0.21919001638889313,,,,,,0.3435418903827667,0.2828657329082489,0.2766859829425812,,,,,,,
20180114,,0.3616565465927124,,0.11073555797338486,0.16278529167175293,,,,0.6572068333625793,0.31367042660713196,,,0.29715654253959656,0.2143954634666443,0.1484925001859665,0.11879788339138031,0.2512480616569519,0.4779628813266754,0.5969361066818237,0.3343263268470764,,,,,0.3967476487159729,0.373195618391037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180115,0.41731610894203186,0.5078924894332886,0.2738143503665924,0.17960582673549652,0.14221753180027008,0.10274571180343628,0.13256949186325073,0.28585588932037354,,0.2540603280067444,0.3366148769855499,1.7480287551879883,0.544937789440155,0.22050762176513672,0.16960570216178894,0.1394854635000229,0.22936184704303741,0.30255937576293945,0.6091066598892212,0.3447658121585846,0.2696729004383087,0.5828342437744141,0.5879729390144348,,0.6879186630249023,0.39990535378456116,0.15557122230529785,0.4052492082118988,,0.553717315196991,0.35005804896354675,0.14226560294628143,0.19550777971744537,1.6920117139816284,0.7737130522727966,0.34850287437438965,0.16346317529678345,0.1828242689371109,0.48962610960006714,,1.6876507997512817,0.4842577874660492,,0.22150246798992157,0.20068633556365967,0.21074341237545013,0.30245283246040344,2.057806968688965,0.4882509708404541,0.3309289515018463,,0.3835512101650238,0.286622554063797,0.2634029686450958,0.35254088044166565,0.3231571316719055,,,,,
20180116,,0.45698830485343933,0.2953338623046875,0.19373850524425507,0.14811481535434723,0.09947744756937027,0.15105658769607544,0.46281152963638306,1.2635656595230103,0.3393377661705017,,,0.29442599415779114,0.2388540655374527,0.18615978956222534,0.13601890206336975,0.22412109375,0.34595760703086853,0.6412635445594788,0.4289965033531189,,,0.2982703745365143,0.5889127254486084,0.6801940202713013,0.36786165833473206,0.1917562633752823,0.5740180015563965,,0.6488279104232788,0.3698621988296509,,0.293961763381958,3.148611307144165,0.8609573841094971,0.3454919755458832,,0.1695549488067627,,,2.093494176864624,0.4531988501548767,0.2991176247596741,,0.28006911277770996,0.3924121856689453,1.2208913564682007,2.604893922805786,0.791888952255249,0.4651573896408081,0.3571265935897827,0.3422282934188843,0.30942508578300476,0.35665395855903625,0.4955942928791046,0.752015233039856,1.0768132209777832,0.6036450862884521,0.556860625743866,0.7761685848236084,0.6599556803703308
20180117,0.44034722447395325,0.4359414577484131,0.2766377329826355,0.22795812785625458,0.17823459208011627,,,,,,0.3638624846935272,1.7724703550338745,0.3043045997619629,0.2590024173259735,,,,,,,0.25019392371177673,0.6952082514762878,,,,,0.17284996807575226,0.6896244883537292,,,,0.15701943635940552,0.21774478256702423,3.4791221618652344,,,0.1583615243434906,0.17314445972442627,0.4273160994052887,,,,,,0.20427066087722778,,,,,,,0.2262675017118454,0.2590244710445404,0.28106293082237244,,0.7194344401359558,0.8178772926330566,,,,
20180118,0.3869037330150604,0.34345030784606934,0.2266014963388443,0.1879887878894806,0.14203156530857086,0.09151206910610199,0.1786603182554245,0.6874578595161438,1.7840107679367065,,0.309624046087265,1.2125755548477173,0.3659166991710663,0.20193853974342346,0.1778983771800995,0.12341368198394775,0.18334025144577026,0.33582520484924316,0.6363002061843872,,0.23606300354003906,0.49883896112442017,0.275083988904953,,,,0.15258508920669556,0.36261773109436035,,,,0.1377338021993637,0.19044576585292816,0.8241044878959656,0.3534621596336365,0.4357314705848694,0.13207490742206573,0.12549294531345367,0.30304354429244995,,,0.2736462950706482,0.22588075697422028,0.13019819557666779,0.14199502766132355,0.17356199026107788,0.3725183606147766,,,,0.39003118872642517,0.3128252625465393,0.2940206527709961,0.30795717239379883,0.3814120590686798,,,,,,0.4847036302089691
20180119,,,,,0.11185507476329803,0.09055880457162857,0.1606738567352295,0.47603586316108704,1.186989665031433,0.2242574393749237,,,,,,0.1040739119052887,0.15805736184120178,0.3108196556568146,0.5474929809570312,0.29390448331832886,,,,,0.3658321499824524,0.3005528748035431,,,,,0.26572099328041077,,,,,,0.1225748285651207,0.1258373111486435,,,,,,0.1350548267364502,0.16716700792312622,0.1888425499200821,,,0.5030540227890015,,0.4595873951911926,0.39200007915496826,0.2840673625469208,0.5890353918075562,0.39137008786201477,0.32662874460220337,,,0.3737003803253174,0.5210815072059631,0.6585339307785034
20180120,,,,,,,,,,,,,,,,,,,,,0.14651775360107422,,,,,,0.15848122537136078,0.3708508610725403,,,,0.11831773072481155,0.20996910333633423,0.7395817637443542,,0.19408267736434937,0.1033593937754631,0.11269228905439377,0.3604220151901245,,1.2005726099014282,0.20071199536323547,0.20625652372837067,,0.0933012142777443,0.232695072889328,0.5740509629249573,1.2589045763015747,0.5529295802116394,0.28503289818763733,0.34153521060943604,,0.21329636871814728,0.27902352809906006,0.326215535402298,0.4547550082206726,0.4711061418056488,0.4628998041152954,0.3425769805908203,0.3764236271381378,0.47739043831825256
20180121,,,,,0.16666632890701294,0.1114550232887268,0.21371394395828247,,,,,,,0.17247040569782257,0.20892512798309326,0.12847469747066498,0.1735338270664215,0.2971341013908386,,,,,,,,,,,,,,0.11973917484283447,0.25937458872795105,0.6764220595359802,,,0.10523080825805664,0.11967860162258148,0.4391773045063019,,,,,0.11187544465065002,0.14736007153987885,0.29482170939445496,0.5564373135566711,,,,,0.34806206822395325,0.352405846118927,0.4532489478588104,0.49155113101005554,0.48004215955734253,0.4451143443584442,0.4348933696746826,0.2807542085647583,0.21344392001628876,
20180122,,,,,,,,,,,,,,,,,,,,,,,,,0.717983603477478,0.33086803555488586,,,,0.6236125826835632,0.25770440697669983,,,,,,,,,,,0.5992686748504639,,,,,,,,,,,,,,,,,,,
20180123,0.45932045578956604,0.3595079183578491,0.22878961265087128,0.24781887233257294,0.20466561615467072,,,,,,0.29602721333503723,,0.24302640557289124,0.20363427698612213,0.19684642553329468,0.12803730368614197,,,,,,,,,0.5317918062210083,0.2779220640659332,,,,0.5069657564163208,0.5330265760421753,0.0993615984916687,0.18880490958690643,,,,0.11780266463756561,0.0840141549706459,,,,0.28800076246261597,,0.08165975660085678,0.1678367406129837,0.19567807018756866,,,,,,0.6550620198249817,,,0.4465155005455017,,,,,,
20180124,0.4666670560836792,0.37978774309158325,0.21365226805210114,0.23319119215011597,0.17567338049411774,0.11383696645498276,0.19178657233715057,0.33161038160324097,0.8427025675773621,0.22674280405044556,0.23727421462535858,0.7378149628639221,0.35666486620903015,0.19413915276527405,0.1830413043498993,0.1365911364555359,0.217014342546463,0.3312780559062958,0.8341639041900635,0.32602638006210327,0.22199080884456635,0.41951775550842285,0.28917932510375977,,0.4757592976093292,0.24686485528945923,0.16467325389385223,0.29661622643470764,,0.3925037682056427,0.2732718884944916,0.10288788378238678,0.23619164526462555,0.38566842675209045,0.4277668297290802,0.23892471194267273,0.07185116410255432,0.09632512181997299,0.15550242364406586,,1.668229103088379,0.28115180134773254,0.24414576590061188,,,0.11382422596216202,0.16125759482383728,,0.441593199968338,0.30289846658706665,0.3605594336986542,,,,,,0.38155409693717957,0.4180161654949188,0.35062646865844727,0.5888023376464844,0.36754316091537476
20180125,0.45021918416023254,0.386675089597702,0.17651301622390747,0.1819312423467636,,,,0.2784687876701355,,0.17453983426094055,0.24893777072429657,1.2359551191329956,0.4321874678134918,0.1560821831226349,0.1434192955493927,0.11555135995149612,0.18953266739845276,,,0.1514359563589096,0.2083849310874939,0.4812126159667969,0.27586087584495544,,0.3736552298069,0.17955829203128815,0.14452849328517914,0.3793562054634094,,0.34805378317832947,0.23035819828510284,0.10372743755578995,0.2829916179180145,1.1026666164398193,,,0.11000341176986694,0.10718397051095963,0.26809990406036377,,,,,0.07421699911355972,0.2378951758146286,0.39567089080810547,0.4889073669910431,1.2327589988708496,0.4220743477344513,0.5284114480018616,,0.27620893716812134,0.2891843020915985,0.6538164615631104,0.6856208443641663,0.5491673946380615,0.5194168090820312,0.4603450298309326,0.33444684743881226,0.4542497396469116,0.2814079225063324
20180126,0.4382181465625763,,,,0.1709120124578476,,0.1488064080476761,0.2606859505176544,,,0.25515785813331604,0.9291251301765442,,,0.13715603947639465,,,0.2397862672805786,,,0.2096443921327591,0.5447060465812683,,,,,0.1554674655199051,0.4129132926464081,,,,0.09963544458150864,0.2796562910079956,2.0629165172576904,,,0.0950838252902031,0.11671415716409683,0.2744222581386566,,,,,0.06733984500169754,0.23456256091594696,0.30253228545188904,0.5358971357345581,,,,,0.20741154253482819,0.23115117847919464,0.5195328593254089,0.5632015466690063,0.47582706809043884,0.4826575517654419,0.40556150674819946,0.2930434048175812,0.33733996748924255,
20180127,,,,,,,,,,,,,,,0.13956619799137115,0.11740816384553909,,,0.2363528162240982,0.19580689072608948,,,,,,0.16755186021327972,0.1587739735841751,0.3585686683654785,,0.23506006598472595,0.1724916249513626,0.10489973425865173,0.27798953652381897,2.4615612030029297,0.4156794846057892,0.2064494490623474,0.08756814897060394,0.13254764676094055,0.28852275013923645,,1.7099814414978027,0.2620949149131775,0.2302888184785843,0.07728961855173111,0.36308419704437256,0.37188735604286194,1.393039584159851,1.5310277938842773,0.45111149549484253,0.2907109558582306,0.21023717522621155,0.2097264677286148,0.21991375088691711,0.545364499092102,0.5801103711128235,0.5300256609916687,0.5090073943138123,0.3283692002296448,,,
20180128,0.36269286274909973,0.2621835768222809,0.15418069064617157,0.1767895221710205,0.1386031061410904,0.11250177770853043,0.14361672103405,,,,0.28472888469696045,0.5469846725463867,,0.16340965032577515,0.14794935286045074,0.13312530517578125,0.1823892891407013,,,,0.2126583606004715,0.3632408082485199,0.2626999318599701,,,,0.14643780887126923,0.30411168932914734,,,,0.09060347080230713,0.23336826264858246,0.35634347796440125,,,0.07197654992341995,0.10958606749773026,0.21728701889514923,,,,,0.07885374873876572,0.32327160239219666,0.2692011594772339,0.33644264936447144,2.3663642406463623,0.49480000138282776,,,0.11601202934980392,0.17936676740646362,0.44757673144340515,0.48367103934288025,0.36265116930007935,0.3969215750694275,0.3199189007282257,0.2511689066886902,,
20180129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180130,0.2984309196472168,0.33345142006874084,0.19450131058692932,0.2343134880065918,0.1697254329919815,0.1495947390794754,0.14461562037467957,,,,0.3035498559474945,,0.27812522649765015,0.18714222311973572,0.15791833400726318,0.15848253667354584,0.14644388854503632,,,,0.16584867238998413,,,,,,,,,,,0.0765204206109047,,,0.16482971608638763,,0.08669127523899078,0.11755900084972382,,,,,0.17656832933425903,0.257315069437027,0.4327535331249237,0.3442517817020416,,,,,0.16671103239059448,0.29015079140663147,0.3544817566871643,0.5483048558235168,0.5575114488601685,,,,,,
