date,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,c21,c22,c25,c26,c29,c30,d31,d32,d33,d39,d40,e41,e42,e43,e49,e50,f51,f52,f53,f57,f58,f59,f60,g61,g62,g63,g64,g67,g68,g69,g70,h71,h72,h73,h74,h75,h76,h77,h78,h79,h80
20180104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180105,16.588125228881836,16.72989273071289,16.83332061767578,17.0815486907959,17.0068416595459,17.03201675415039,16.962961196899414,,,,,17.17819595336914,17.10108757019043,16.132078170776367,16.811691284179688,16.902788162231445,16.595321655273438,16.682254791259766,,,,,,,,,,,,,,15.683380126953125,,,,,,,,,,,,,14.402910232543945,14.289000511169434,,,,,,14.286666870117188,14.17943000793457,13.83829402923584,,,,15.047391891479492,,,
20180106,16.975500106811523,17.135046005249023,17.302661895751953,17.52057456970215,17.4260196685791,17.026947021484375,16.989452362060547,17.499418258666992,17.4851131439209,16.708499908447266,,17.171518325805664,16.996816635131836,16.58858871459961,16.780479431152344,17.190832138061523,16.179218292236328,,16.56155776977539,,,,,,16.962682723999023,17.75214195251465,,,,16.893781661987305,17.770851135253906,,,,17.215124130249023,18.2698917388916,,,,,,,,,,,,,,,,,,,,,,,,,
20180107,,,,,,16.815956115722656,,,,,,,,,,,,,,,,,,,,,15.900768280029297,16.322765350341797,,,,15.750685691833496,15.78833293914795,16.681705474853516,,,15.159259796142578,14.92845630645752,16.219030380249023,,,,,14.252632141113281,14.480781555175781,14.845719337463379,15.894999504089355,15.554357528686523,15.618826866149902,16.672359466552734,14.438677787780762,14.180404663085938,13.944258689880371,13.800742149353027,14.102402687072754,14.739142417907715,14.866593360900879,15.106127738952637,15.406081199645996,16.080678939819336,14.956938743591309
20180108,16.94999885559082,16.882343292236328,16.83429527282715,16.7145938873291,16.780231475830078,16.988468170166016,17.329687118530273,17.593168258666992,,,,17.1163330078125,17.392724990844727,16.407791137695312,16.638086318969727,16.476789474487305,17.026172637939453,17.288721084594727,,,,,,,,,16.72468376159668,,,16.351282119750977,17.89455795288086,,,,16.978532791137695,17.3799991607666,,,,,17.034748077392578,17.315584182739258,17.172239303588867,,,,,,15.975590705871582,16.96430015563965,,,,,,,,,,,
20180109,,,,,,,,19.277894973754883,19.593017578125,19.58186149597168,,,,,,,,18.81348991394043,18.73058319091797,18.758724212646484,,,,,18.16855812072754,19.126075744628906,,,,18.01932144165039,18.887832641601562,,,,17.584735870361328,18.122190475463867,,,,,,17.95244789123535,18.170499801635742,,,,,,,,,,,,,16.090694427490234,15.879117965698242,15.796273231506348,,,
20180110,16.778730392456055,17.058116912841797,17.046180725097656,17.356008529663086,17.2197208404541,17.08131980895996,17.16517448425293,17.484045028686523,,,16.717714309692383,17.360795974731445,17.005165100097656,16.4312686920166,16.774682998657227,16.891143798828125,16.992809295654297,17.188091278076172,,,,16.845407485961914,16.30150032043457,,,,16.395071029663086,,,,,15.883041381835938,,17.194847106933594,,,,15.16624927520752,,,,,,,,14.29745101928711,,,,,,,14.223331451416016,14.2871732711792,14.577775955200195,14.435258865356445,,15.400525093078613,,,
20180111,16.783674240112305,,17.258811950683594,17.666210174560547,17.693334579467773,17.636259078979492,17.736713409423828,18.362878799438477,18.97203826904297,18.896589279174805,16.683748245239258,,17.05382537841797,17.12898826599121,17.47522735595703,17.470439910888672,17.69064712524414,18.07499885559082,18.02751922607422,18.24276351928711,16.851665496826172,17.195531845092773,17.251338958740234,,17.82146453857422,18.53047752380371,16.825727462768555,17.362285614013672,,17.227699279785156,17.68695640563965,16.133636474609375,16.571510314941406,17.705854415893555,16.675426483154297,17.624765396118164,16.08709716796875,15.781294822692871,,,,17.499536514282227,17.716264724731445,15.3809232711792,15.255778312683105,,16.82196044921875,16.703954696655273,16.43181800842285,17.375640869140625,18.017114639282227,15.078093528747559,,,15.611146926879883,15.946880340576172,15.977165222167969,15.906400680541992,16.452104568481445,16.319778442382812,15.35538387298584
20180112,,,,,,,,,,,,,,,,,,,,,16.819425582885742,17.48556137084961,,,,,17.258806228637695,17.632740020751953,,,,17.000322341918945,17.105314254760742,17.933570861816406,,,17.00146484375,,,,,,,,16.3078556060791,,,,,,,15.503180503845215,,,,,,,,,
20180113,,,,,17.805814743041992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
